id,isResult,h,a,goals,xG,datetime,forecast,season,league
534,True,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '1', 'a': '1'}","{'h': '2.69208', 'a': '0.144498'}",2016-10-15 18:00:00,"{'w': '0.9671', 'd': '0.0307', 'l': '0.0022'}",2016,EPL
535,True,"{'id': '85', 'title': 'Stoke', 'short_title': 'STO'}","{'id': '77', 'title': 'Sunderland', 'short_title': 'SUN'}","{'h': '2', 'a': '0'}","{'h': '2.29543', 'a': '0.587572'}",2016-10-15 18:00:00,"{'w': '0.814', 'd': '0.1357', 'l': '0.0503'}",2016,EPL
536,True,"{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '1', 'a': '1'}","{'h': '1.30365', 'a': '1.32318'}",2016-10-15 18:00:00,"{'w': '0.3671', 'd': '0.296', 'l': '0.3369'}",2016,EPL
537,True,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '0', 'a': '1'}","{'h': '1.94599', 'a': '0.874219'}",2016-10-15 20:30:00,"{'w': '0.6821', 'd': '0.2098', 'l': '0.1081'}",2016,EPL
538,True,"{'id': '93', 'title': 'Middlesbrough', 'short_title': 'MID'}","{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'h': '0', 'a': '1'}","{'h': '0.528576', 'a': '0.0893749'}",2016-10-16 16:30:00,"{'w': '0.3998', 'd': '0.5508', 'l': '0.0494'}",2016,EPL
539,True,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'h': '3', 'a': '1'}","{'h': '4.21181', 'a': '1.03126'}",2016-10-16 19:00:00,"{'w': '0.9503', 'd': '0.0391', 'l': '0.0106'}",2016,EPL
540,True,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '0', 'a': '0'}","{'h': '0.270441', 'a': '0.537762'}",2016-10-17 23:00:00,"{'w': '0.1417', 'd': '0.494', 'l': '0.3643'}",2016,EPL
541,True,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '0', 'a': '0'}","{'h': '0.523371', 'a': '0.74529'}",2016-10-22 15:30:00,"{'w': '0.2292', 'd': '0.4073', 'l': '0.3635'}",2016,EPL
542,True,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '77', 'title': 'Sunderland', 'short_title': 'SUN'}","{'h': '1', 'a': '0'}","{'h': '1.19585', 'a': '0.808339'}",2016-10-22 18:00:00,"{'w': '0.4506', 'd': '0.3098', 'l': '0.2396'}",2016,EPL
543,True,"{'id': '84', 'title': 'Swansea', 'short_title': 'SWA'}","{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'h': '0', 'a': '0'}","{'h': '1.33215', 'a': '0.478578'}",2016-10-22 18:00:00,"{'w': '0.6242', 'd': '0.2687', 'l': '0.1071'}",2016,EPL
544,True,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '3', 'a': '1'}","{'h': '1.7041', 'a': '1.656'}",2016-10-22 18:00:00,"{'w': '0.3854', 'd': '0.2495', 'l': '0.3651'}",2016,EPL
545,True,"{'id': '91', 'title': 'Hull', 'short_title': 'HUL'}","{'id': '85', 'title': 'Stoke', 'short_title': 'STO'}","{'h': '0', 'a': '2'}","{'h': '0.701606', 'a': '1.04273'}",2016-10-22 18:00:00,"{'w': '0.2395', 'd': '0.3282', 'l': '0.4323'}",2016,EPL
